#{"t_start": 1786829237.1354809, "env_id": "None"}
r,l,t
-49.8,1,5.572347
-48.9,2,5.581753
-31.2,1,5.587966
-69.6,1,5.593742
-10.0,1,5.598713
-48.6,1,5.60363
-67.2,2,5.61224
-10.0,2,5.61961
-10.0,2,5.627259
-10.0,1,5.632235
-43.2,1,5.637388
-43.2,1,5.64248
-10.0,1,5.647425
-35.1,1,5.652317
-56.7,1,5.657446
-64.8,1,5.662891
-45.3,1,5.667895
-10.0,1,5.67322
-40.8,2,5.680783
-39.9,2,5.688297
-48.6,1,5.693333
-44.1,2,5.700876
-42.9,1,5.705858
-42.0,5,5.720605
-10.0,1,5.725764
-10.0,2,5.733232
-34.2,2,5.743167
-10.0,2,5.754109
-36.9,1,5.759267
-10.0,2,5.769496
-10.0,1,5.774829
-40.8,2,5.78591
-10.0,1,5.791094
-10.0,1,5.797441
-10.0,3,5.808605
-10.0,1,5.814642
-25.2,1,5.819889
-47.4,1,5.824884
-10.0,2,5.833583
-10.0,1,5.838692
-10.0,1,5.843686
-10.0,2,5.851776
-10.0,2,5.859337
-49.2,1,5.865072
-10.0,1,5.870384
-31.8,2,5.878292
-10.0,1,5.88395
-10.0,1,5.889078
-10.0,2,5.897202
-10.0,1,5.902391
-38.1,1,5.907404
-49.2,3,5.918654
-53.7,1,5.923652
-53.7,2,5.933382
-87.0,1,5.93844
-85.2,2,5.947666
-10.0,1,5.953185
-10.0,1,5.958893
-10.0,1,5.96501
-10.0,1,5.970492
-44.4,2,5.979411
-10.0,3,5.989512
-44.7,1,5.994532
-30.3,2,6.004345
-10.0,2,6.014172
-10.0,2,6.025226
-34.5,1,6.035304
-10.0,2,6.046958
-38.7,1,6.056758
-10.0,1,6.064597
-92.7,3,6.080488
-53.4,3,6.096472
-10.0,2,6.105466
-30.6,1,6.111152
-10.0,2,6.120573
-10.0,1,6.12596
-44.4,2,6.135038
-10.0,1,6.140424
-25.8,1,6.146505
-67.5,1,6.1524
-10.0,1,6.157858
-67.2,1,6.163747
-10.0,1,6.169444
-67.2,1,6.174725
-10.0,3,6.186224
-29.7,1,6.191244
-53.4,1,6.19726
-10.0,1,6.202421
-38.4,1,6.207346
-46.5,2,6.215555
-10.0,1,6.220557
-31.2,1,6.225622
-45.3,1,6.231
-40.5,3,6.241271
-10.0,3,6.251974
-48.3,2,6.260051
-41.4,4,6.272976
-10.0,1,6.278576
-36.9,1,6.283827
-10.0,1,6.289071
-43.8,3,6.299315
-47.7,4,6.311754
-33.3,4,6.325359
-42.9,1,6.330831
-54.0,1,6.335927
-10.0,3,6.346005
-44.7,3,6.355975
-10.0,1,6.361037
-61.2,2,6.369159
-49.2,2,6.377374
-46.2,3,6.388351
-10.0,1,6.393551
-10.0,1,6.398937
-10.0,1,6.404508
-10.0,4,6.417595
-10.0,1,6.423429
-50.7,3,6.43446
-10.0,4,6.448805
-10.0,1,6.454222
-10.0,1,6.459448
-72.6,1,6.465057
-30.6,1,6.470466
-42.9,1,6.475827
-10.0,1,6.481335
-10.0,3,6.494028
-53.7,2,6.507181
-38.4,1,6.514498
-10.0,2,6.524863
-10.0,2,6.53448
-10.0,2,6.541911
-10.0,3,6.557176
-72.3,2,6.568306
-40.8,2,6.577216
-42.9,2,6.586982
-67.5,1,6.592939
-10.0,1,6.600716
-47.7,1,6.607421
-47.7,1,6.614319
-72.6,1,6.619573
-48.6,1,6.624951
-72.3,2,6.634303
-44.7,1,6.639426
-10.0,1,6.645051
-10.0,1,6.650806
-10.0,2,6.658643
-10.0,1,6.665764
-65.1,2,6.673835
-10.0,1,6.679835
-10.0,1,6.685601
-43.2,4,6.699356
-38.4,1,6.704581
-48.6,1,6.709362
-44.4,3,6.721983
-10.0,1,6.729396
-49.2,2,6.737665
-24.6,3,6.748274
-10.0,1,6.754021
-44.7,2,6.762197
-61.5,1,6.768568
-10.0,1,6.7737
-10.0,2,6.782847
-44.4,1,6.789704
-43.2,1,6.79483
-42.9,1,6.800327
-10.0,4,6.812538
-46.8,2,6.820697
-10.0,2,6.829691
-10.0,1,6.837811
-41.4,1,6.844951
-10.0,2,6.857579
-46.8,1,6.865895
-10.0,1,6.873277
-47.1,1,6.881864
-53.7,1,6.889456
-34.5,1,6.900279
-29.7,1,6.907756
-10.0,2,6.919306
-44.4,2,6.93221
-56.7,1,6.939153
-62.1,1,6.946253
-10.0,3,6.964024
-41.4,1,6.974089
-43.2,1,6.981862
-10.0,1,6.992089
-48.6,1,6.998765
-69.6,1,7.007257
-38.7,1,7.012342
-43.8,2,7.023658
-10.0,1,7.028884
-10.0,1,7.035588
-10.0,1,7.040593
-38.7,2,7.049002
-10.0,2,7.059424
-44.4,1,7.064759
-28.5,2,7.074345
-44.7,1,7.080644
-39.0,1,7.088677
-42.0,3,7.099639
-10.0,2,7.110196
-29.7,1,7.116097
-10.0,1,7.123707
-10.0,1,7.129411
-10.0,2,7.138326
-10.0,1,7.143724
-10.0,2,7.153179
-10.0,1,7.158655
-10.0,1,7.164692
-34.2,1,7.170085
-70.5,2,7.17765
-25.8,1,7.1833
-30.6,2,7.191197
-61.8,3,7.201907
-10.0,2,7.209499
-10.0,3,7.220768
-10.0,1,7.225911
-10.0,3,7.236925
-30.9,2,7.244356
-43.2,1,7.250161
-49.2,2,7.257665
-10.0,1,7.262995
-10.0,1,7.269114
-10.0,1,7.274763
-54.0,1,7.281571
-10.0,1,7.287301
-10.0,1,7.292672
-10.0,1,7.299147
-10.0,1,7.304575
-10.0,1,7.30998
-10.0,1,7.316317
-31.5,1,7.321878
-61.8,2,7.330672
-29.7,4,7.343569
-10.0,4,7.361437
-10.0,3,7.374066
-10.0,3,7.385328
-10.0,2,7.393037
-10.0,2,7.402644
-44.4,1,7.40958
-54.0,1,7.417909
-10.0,2,7.430338
-28.2,3,7.446635
-10.0,1,7.454896
-42.3,1,7.46356
-45.3,1,7.471696
-10.0,2,7.483217
-44.1,2,7.491795
-10.0,1,7.497598
-10.0,1,7.502853
-69.6,1,7.509752
-34.5,1,7.515177
