algo,seed,step,episode_return
dqn,0,1496,-42.6
dqn,0,1498,-61.5
dqn,0,1499,-10.0
dqn,0,1500,-10.0
dqn,0,1501,-10.0
dqn,0,1502,-10.0
dqn,0,1504,-53.7
dqn,0,1508,-53.1
dqn,0,1512,-47.7
dqn,0,1514,-44.1
dqn,0,1515,-10.0
dqn,0,1517,-10.0
dqn,0,1522,-60.3
dqn,0,1525,-10.0
dqn,0,1526,-44.4
dqn,0,1529,-40.5
dqn,0,1530,-54.9
dqn,0,1534,-43.5
dqn,0,1536,-33.9
dqn,0,1537,-35.7
dqn,0,1538,-42.9
dqn,0,1541,-10.0
dqn,0,1544,-10.0
dqn,0,1546,-25.5
dqn,0,1547,-62.4
dqn,0,1551,-10.0
dqn,0,1555,-67.2
dqn,0,1556,-10.0
dqn,0,1557,-10.0
dqn,0,1558,-10.0
dqn,0,1560,-69.3
dqn,0,1563,-48.0
dqn,0,1568,-30.0
dqn,0,1569,-10.0
dqn,0,1571,-40.8
dqn,0,1572,-65.4
dqn,0,1573,-10.0
dqn,0,1574,-10.0
dqn,0,1575,-10.0
dqn,0,1580,-68.4
dqn,0,1583,-10.0
dqn,0,1584,-44.4
dqn,0,1587,-42.6
dqn,0,1588,-40.2
dqn,0,1590,-10.0
dqn,0,1595,-10.0
dqn,0,1596,-49.5
dqn,0,1599,-10.0
dqn,0,1600,-10.0
dqn,0,1601,-10.0
dqn,0,1603,-46.5
dqn,0,1604,-10.0
dqn,0,1607,-10.0
dqn,0,1611,-44.4
dqn,0,1612,-43.2
dqn,0,1613,-10.0
dqn,0,1615,-10.0
dqn,0,1620,-66.0
dqn,0,1624,-40.2
dqn,0,1627,-10.0
dqn,0,1629,-61.2
dqn,0,1631,-62.1
dqn,0,1633,-10.0
dqn,0,1634,-54.0
dqn,0,1635,-47.1
dqn,0,1636,-10.0
dqn,0,1638,-10.0
dqn,0,1642,-10.0
dqn,0,1644,-10.0
dqn,0,1645,-10.0
dqn,0,1646,-43.2
dqn,0,1649,-33.6
dqn,0,1657,-10.0
dqn,0,1660,-10.0
dqn,0,1667,-10.0
dqn,0,1668,-28.8
dqn,0,1672,-10.0
dqn,0,1674,-42.9
dqn,0,1676,-10.0
dqn,0,1679,-10.0
dqn,0,1681,-38.4
dqn,0,1682,-10.0
dqn,0,1685,-10.0
dqn,0,1686,-10.0
dqn,0,1687,-36.3
dqn,0,1689,-10.0
dqn,0,1690,-10.0
dqn,0,1691,-10.0
dqn,0,1695,-41.1
dqn,0,1697,-10.0
dqn,0,1699,-10.0
dqn,0,1704,-10.0
dqn,0,1705,-10.0
dqn,0,1706,-10.0
dqn,0,1714,-10.0
dqn,0,1715,-54.9
dqn,0,1718,-10.0
dqn,0,1720,-42.3
dqn,0,1722,-39.9
dqn,0,1723,-10.0
dqn,0,1725,-10.0
dqn,0,1727,-10.0
dqn,0,1729,-49.5
dqn,0,1731,-10.0
dqn,0,1732,-10.0
dqn,0,1735,-10.0
dqn,0,1736,-67.2
dqn,0,1738,-10.0
dqn,0,1739,-43.2
dqn,0,1743,-10.0
dqn,0,1745,-45.0
dqn,0,1746,-10.0
dqn,0,1747,-10.0
dqn,0,1750,-44.4
dqn,0,1752,-10.0
dqn,0,1753,-48.6
dqn,0,1755,-31.8
dqn,0,1756,-69.6
dqn,0,1758,-10.0
dqn,0,1761,-10.0
dqn,0,1763,-42.3
dqn,0,1764,-10.0
dqn,0,1766,-40.8
dqn,0,1768,-10.0
dqn,0,1769,-10.0
dqn,0,1771,-31.8
dqn,0,1773,-30.9
dqn,0,1774,-10.0
dqn,0,1776,-48.3
dqn,0,1777,-30.9
dqn,0,1781,-48.3
dqn,0,1783,-45.0
dqn,0,1784,-10.0
dqn,0,1785,-40.2
dqn,0,1786,-10.0
dqn,0,1787,-48.6
dqn,0,1789,-49.5
dqn,0,1791,-10.0
dqn,0,1793,-45.0
dqn,0,1797,-10.0
dqn,0,1801,-10.0
dqn,0,1803,-10.0
dqn,0,1804,-10.0
dqn,0,1805,-10.0
dqn,0,1807,-10.0
dqn,0,1810,-41.7
dqn,0,1812,-10.0
dqn,0,1813,-10.0
dqn,0,1815,-36.0
dqn,0,1819,-47.7
dqn,0,1820,-10.0
dqn,0,1822,-10.0
