#{"t_start": 1786828163.5632281, "env_id": "None"}
r,l,t
-56.7,1,11.407224
-10.0,1,11.413524
-10.0,4,11.443767
-10.0,1,11.466243
-42.6,3,11.478293
-33.6,1,11.488343
-48.6,1,11.49404
-10.0,1,11.506536
-38.7,1,11.51287
-44.1,1,11.525259
-64.8,1,11.530218
-35.7,1,11.544611
-10.0,2,11.55507
-39.0,1,11.559621
-10.0,2,11.568869
-44.1,2,11.59164
-28.2,3,11.60954
-43.5,5,11.627878
-38.7,2,11.634604
-42.3,2,11.654825
-10.0,2,11.660574
-29.7,1,11.671216
-10.0,6,11.692863
-60.3,8,11.728599
-10.0,2,11.739344
-31.2,2,11.74576
-35.4,17,11.799313
-10.0,2,11.820057
-10.0,2,11.828447
-10.0,4,11.844612
-70.5,2,11.856709
-25.2,3,11.876581
-10.0,3,11.884337
-62.4,1,11.892699
-30.9,1,11.896547
-49.5,1,11.906395
-41.7,6,11.93257
-10.0,10,11.955039
-30.3,4,11.966166
-43.2,1,11.976377
-10.0,1,11.984398
-39.3,4,11.996027
-48.6,1,12.000797
-63.9,4,12.026199
-10.0,4,12.045317
-33.9,2,12.051953
-10.0,1,12.061482
-10.0,4,12.081903
-49.5,2,12.086266
-10.0,11,12.121743
-10.0,1,12.127401
-31.2,2,12.148506
-10.0,1,12.154049
-10.0,1,12.159759
-36.9,1,12.166432
-56.4,2,12.183662
-10.0,2,12.188738
-10.0,1,12.200841
-10.0,1,12.205913
-44.4,1,12.217364
-10.0,1,12.220967
-10.0,4,12.237632
-28.2,3,12.250202
-53.1,2,12.268569
-10.0,8,12.297041
-10.0,1,12.300536
-10.0,2,12.306066
-10.0,1,12.32884
-10.0,6,12.346713
-48.6,1,12.351639
-10.0,2,12.3616
-34.2,2,12.375424
-10.0,1,12.389097
-10.0,2,12.395558
-10.0,2,12.404905
-53.7,2,12.417905
-30.9,1,12.423365
-10.0,3,12.436669
-42.0,3,12.45273
-33.6,1,12.466412
-51.0,2,12.481186
-41.7,5,12.5032
-48.9,1,12.507962
-10.0,4,12.531762
-10.0,4,12.547403
-69.3,2,12.560594
-33.6,1,12.564139
-42.0,1,12.575395
-24.9,4,12.592474
-46.5,4,12.607797
-10.0,1,12.613663
-56.7,1,12.633685
-51.0,2,12.640563
-10.0,5,12.661317
-10.0,1,12.671868
-33.9,2,12.688334
-44.1,2,12.703953
-10.0,1,12.709582
-10.0,1,12.714246
-40.8,2,12.736468
-10.0,2,12.745513
-48.9,2,12.755268
-39.9,2,12.764126
-22.8,2,12.787835
-29.7,1,12.793323
-48.6,2,12.801252
